mean,var,azm,SWH,direction
0.0114,0.0763,148.0239,0.624458134,24.09741211
0.0086,0.0606,129.5854,0.428949505,170.1094971
0.0012,0.0008,108.4069,0.151159957,168.6687012
0.0024,0.003,130.9939,0.156678379,69.35614014
0.001,0.0005,130.533,0.11166773,26.35919189
0.0088,0.0483,104.6691,0.493003368,238.2639313
0.0038,0.0108,118.5778,0.601879835,276.0307312
0.0063,0.023,127.8801,0.583639741,288.0493164
0.0174,0.2055,111.2029,2.071949959,191.7192688
0.0075,0.0285,115.2619,0.941011012,328.2414246
0.0086,0.0533,119.473,0.519520819,51.51278687
0.0062,0.0315,150.0941,0.421393186,165.9696045
0.0059,0.0248,136.7156,0.452042997,6.573394775
0.015,0.1206,113.4249,0.738955975,223.4967041
0.0084,0.04,114.5267,0.509614587,239.9608459
0.012,0.0793,145.265,0.563406289,281.1603088
0.004,0.01,121.8238,0.409487545,8.242248535
0.0389,0.792,113.3394,1.062809587,252.8761597
0.0108,0.0704,117.3141,0.432767153,43.23808289
0.0049,0.0171,123.5531,0.225264013,355.5334167
0.026,0.5191,167.5559,1.391672611,143.0539398
0.0127,0.1052,159.5194,0.450164765,272.8574524
0.0012,0.0006,120.0653,0.141762644,354.2999878
0.0053,0.0188,118.1344,0.587742805,271.5938416
0.0189,0.1943,117.4985,0.506634712,232.2294312
0.0266,0.4152,118.358,1.847983837,192.1886597
0.0019,0.0005,126.3478,0.116975948,143.3950653
0.0293,0.5042,114.4945,1.404691696,163.5922241
0.0181,0.1579,121.3168,0.471745342,249.9821472
0.001,0.0002,105.3156,0.476277292,184.4350891
0.0207,0.2453,119.1548,0.347676575,91.92523193
0.0089,0.0514,124.768,0.296156317,58.25259399
0.0025,0.0061,125.408,0.2492529,164.767334
0.0009,0.0003,107.4356,0.196352661,72.13778687
0.0062,0.0308,175.2025,0.229565024,162.8086853
0.009,0.0655,125.8506,0.440311283,64.51951599
0.0076,0.033,114.5411,0.990629077,346.0476685
0.0057,0.0198,116.8306,0.209516764,27.43911743
0.0082,0.0498,140.9454,1.695816517,197.8570557
0.0365,0.8669,112.9417,2.316494465,177.4005737
0.0121,0.1018,149.5351,0.467041612,64.35263062
0.0088,0.05,110.5126,0.361234158,45.59790039
0.0141,0.1179,130.038,0.604547858,212.3356171
0.0067,0.0287,123.6452,0.351836413,46.75548553
0.0021,0.0013,121.6977,0.132050604,27.92640686
0.0068,0.034,134.6518,0.826036215,290.8950806
0.0224,0.298,186.5114,1.434976339,178.7629852
0.0017,0.0031,135.9357,0.201775625,181.3415833
0.0082,0.0461,115.4821,0.850780845,223.9006042
0.0133,0.0927,117.9009,0.601081431,286.0917358
0.0121,0.0786,120.2206,0.43699199,226.4005432
0.0863,4.2493,132.1507,1.806379795,16.42263794
0.0134,0.1048,122.5818,0.497327805,73.33102417
0.0102,0.0654,121.6871,0.733712435,358.7872925
0.0071,0.033,163.7161,0.489345133,42.55267334
0.0598,1.9664,131.4584,1.483440995,24.40203857
0.0097,0.0447,115.6402,0.662553608,201.7666321
0.016,0.1346,115.4199,0.467889249,212.1004181
0.0046,0.0124,119.24,0.730886281,237.0402832
0.0076,0.0365,129.9786,0.802130222,237.4290619
0.0207,0.2555,122.8999,1.107142568,258.9172363
0.008,0.0329,111.9092,1.027011037,337.8439636
0.002,0.0009,115.2275,0.193052813,56.99841309
0.0103,0.0571,116.3445,0.463475287,44.83328247
0.0137,0.1171,118.1727,0.47276929,233.829422
0.0057,0.0255,123.8221,0.277248085,225.9694519
0.0011,0.001,152.7651,0.112993881,28.62045288
0.0114,0.0824,118.1413,1.311906934,179.7337189
0.0141,0.2056,155.3495,0.449905276,55.97350311
0.0011,0.0004,109.3842,0.149379373,11.58435059
0.0081,0.0444,127.5917,0.308277398,59.02897644
0.0113,0.0866,112.8027,0.45622468,231.205658
0.0011,0.0005,152.6219,0.206130743,76.08921814
0.0318,0.5573,122.2129,1.992149591,174.9205322
0.0062,0.0271,114.3712,0.208151117,88.36929321
0.0118,0.066,115.169,0.554477692,244.0609894
0.0178,0.1871,133.0078,0.47558558,192.5356445
0.0293,0.5459,108.8979,1.891852617,190.0046997
0.0229,0.2795,111.9385,1.064628959,257.1853943
0.0157,0.1413,112.9778,0.60088557,186.8037415
0.0101,0.0653,119.1928,0.145945206,81.25831604
0.0486,1.3194,115.3332,0.676297963,222.8057098
0.0306,0.4974,110.584,1.251442909,155.9448547
0.0092,0.0533,142.5277,0.488808095,65.06239319
0.0177,0.2323,126.0155,1.170120955,265.1367798
0.0098,0.0605,146.0543,0.218469545,73.22094727
0.0077,0.0297,117.5506,0.363117069,38.92074585
0.0118,0.0696,122.3335,0.573648989,39.67205811
0.0076,0.0318,114.0397,0.609810472,245.9898071
0.0104,0.0614,118.5921,0.32509315,65.71051025
0.0063,0.0235,128.07,0.704224288,240.6062469
0.0439,1.0479,113.8218,0.940021396,233.380188
0.0043,0.0126,135.6058,0.312254012,20.35044861
0.0091,0.0455,115.7652,1.151158333,330.2824097
0.0044,0.0128,177.6815,0.560195863,278.8183899
0.004,0.0131,157.571,0.195127383,58.05792236
0.0056,0.0178,121.0919,0.377599627,26.2973175
0.0085,0.0419,116.0445,0.566398263,271.9346008
0.0162,0.1434,116.8753,0.581933618,197.3722839
0.0251,0.3377,127.8281,0.528060138,79.51907349
0.0049,0.0133,108.6307,0.440717399,17.77056885
0.0356,0.7088,104.9899,0.949210882,78.19616699
0.024,0.3433,118.5968,2.213639736,187.3112488
0.0072,0.0297,144.1332,0.782470703,230.8163452
0.0271,0.5019,117.6234,1.22802794,139.6190796
0.0067,0.0271,110.1254,0.998666704,351.8574219
0.007,0.0369,136.592,1.054726839,198.6109161
0.0144,0.1302,110.9237,0.50747633,201.9262695
0.0012,0.0003,109.3622,1.005976915,309.4390869
0.0213,0.2993,118.6664,0.383850932,0.856628418
0.0056,0.0175,123.9549,1.18954289,176.604187
0.0088,0.0479,121.5657,0.429760307,46.41119385
0.0472,1.0554,110.063,0.884387612,74.45755005
0.0023,0.0051,143.851,0.140271634,355.2176208
0.0239,0.2677,109.3651,1.12847209,34.04875183
0.0144,0.1091,119.4809,0.699518085,207.8537292
0.0173,0.1622,113.3665,1.035188079,263.7761536
0.0021,0.0012,118.0729,0.221273035,54.57643127
0.0049,0.0124,110.7025,0.467145264,358.9828491
0.0347,0.6199,109.7032,0.812010944,235.9889069
0.0393,0.837,116.1597,0.169072762,49.92192841
0.0061,0.0238,115.3059,0.210397005,99.40048218
0.0089,0.0568,117.0317,0.425186127,47.10339355
0.0072,0.0485,165.1061,0.134325653,117.5477448
0.0049,0.0146,129.0362,0.618846118,1.658111572
0.021,0.3043,161.7954,1.470357418,147.331131
0.0078,0.0374,117.4768,1.423675179,188.6177216
0.0158,0.1549,109.1748,1.96783638,195.0690002
0.0203,0.2498,111.9733,1.546748042,199.7160339
0.0222,0.3012,117.8421,1.202985525,270.0228577
0.007,0.0306,131.8035,0.224918202,158.9421692
0.006,0.0273,132.3478,0.370234251,221.8983612
0.0047,0.0152,112.3372,0.164477125,13.14291382
0.0041,0.0095,121.1746,0.315293461,6.008865356
0.0282,0.3817,114.8934,0.617286444,68.80874634
0.0321,0.7005,111.0311,2.296158314,180.3218994
0.0173,0.2065,115.5396,0.887829304,195.369812
0.0105,0.0589,123.2436,0.674778521,227.7131653
0.079,3.1976,127.263,1.230169058,17.43266296
0.0383,0.8227,115.2816,0.910110235,232.7800598
0.0114,0.0788,116.637,0.229303554,147.7601318
0.0255,0.3477,123.3606,0.416023791,132.3553619
0.0213,0.2733,116.1362,2.164222479,191.0446625
0.0299,0.4659,112.5345,0.704144299,65.39427948
0.0156,0.1411,115.5289,0.453255713,67.55986023
0.042,0.9629,115.0169,0.800241232,238.1860657
0.0097,0.0534,115.5977,0.588005602,36.81112671
0.0165,0.1404,113.0417,0.444506824,53.35276794
0.0343,0.7431,117.4457,2.302227259,180.0
0.0179,0.1961,119.8948,0.462957323,85.66052246
0.0024,0.0043,137.117,0.273074567,97.32525635
0.0482,1.1942,109.3301,0.587870061,82.48266602
0.0081,0.0361,113.5745,0.590996265,199.3496094
0.0237,0.2878,119.9303,0.869562268,42.66448975
0.0244,0.3613,110.9729,1.552807093,170.2333069
0.0029,0.0092,131.4259,0.209196225,73.15927124
0.0019,0.0009,109.9447,0.153832138,37.63633728
0.001,0.0003,103.3806,0.139944762,1.29574585
0.0044,0.013,116.7511,0.530861855,273.62323
0.0131,0.0932,117.9544,0.489757627,307.7216492
0.002,0.0018,131.7236,0.454546213,55.02676392
0.0254,0.3702,112.6837,1.890753508,189.7884521
0.0047,0.0212,134.8486,0.131016791,176.813385
0.0086,0.0425,114.6841,0.530374467,239.2142334
0.0038,0.0114,127.5988,0.135316595,9.810791016
0.0189,0.1893,117.518,0.53875643,231.0349121
0.0056,0.0218,123.3389,0.217571184,357.256958
0.0191,0.2049,112.5235,0.306643277,95.2015686
0.0164,0.1566,107.6045,0.77525425,188.6413574
0.0158,0.1431,111.1219,2.007148743,196.0602722
0.0074,0.0374,129.7224,0.559355915,197.5076447
0.01,0.0542,126.7427,0.479214996,248.205307
0.0012,0.0002,121.3055,0.091393679,181.769043
0.0057,0.0179,113.5001,1.331967592,198.2542572
0.0012,0.0006,109.2824,0.154292554,29.70798492
0.054,1.5123,116.6898,0.782613516,44.90614319
0.0068,0.0278,122.4772,0.806947589,229.9810944
0.0089,0.0484,132.7973,0.595468044,231.4830017
0.0136,0.1101,114.1571,0.617540121,174.7516785
0.0011,0.0005,115.449,0.253012031,198.161438
0.0093,0.0499,120.109,0.644092321,262.0487671
0.0139,0.0977,105.5341,0.535788417,217.6821594
0.0134,0.1059,107.6048,0.463057041,218.7099457
0.0123,0.1142,166.3561,0.440385193,57.51095581
0.021,0.27,110.9665,1.14726615,143.2205658
0.0033,0.0086,149.106,0.333913505,50.31381226
0.0053,0.0223,127.1064,0.563378751,176.2930298
0.0169,0.18,140.5254,0.546843052,196.0482178
0.0073,0.0275,107.9331,0.994475961,352.0357971
0.0081,0.042,115.6815,0.531854987,207.7857971
0.0137,0.1302,150.0309,0.101906389,5.599006653
0.0226,0.2693,119.7245,0.421883821,139.901062
0.0115,0.0795,111.3725,0.158433124,157.026123
0.0044,0.0275,194.2071,0.23221004,72.22198486
0.0053,0.0173,136.7537,0.446065247,358.0477905
0.0055,0.0179,117.7076,1.221535683,179.7078552
0.002,0.0017,105.4111,0.154837891,86.92524719
0.0087,0.0455,120.9149,0.564771116,277.0604553
0.0068,0.0292,111.2428,0.509812057,286.3318787
0.008,0.0342,112.7192,0.93393898,336.8966064
0.0085,0.0384,123.2535,0.981335342,341.5252075
0.0253,0.3129,114.0489,0.610208094,70.33714294
0.0049,0.0183,129.282,0.197146922,56.86859131
0.0169,0.1577,114.8034,0.540829957,201.2302551
0.0154,0.1492,126.5229,0.436829507,210.5170898
0.0217,0.2761,153.5772,0.659696281,232.4724884
0.0045,0.0171,106.9132,0.21050629,191.3178711
0.0138,0.1189,122.9401,1.421319246,204.9793091
0.0053,0.0158,112.5984,0.870529354,347.3996582
0.0093,0.0515,177.0602,0.407670617,227.0289917
0.0225,0.2618,114.3239,0.772429466,233.6332855
0.0014,0.0014,134.4443,0.200837553,55.15014648
0.0114,0.082,123.1667,0.718236268,35.90948486
0.0073,0.0317,107.4975,0.428589582,78.09065247
0.0222,0.3,149.8076,0.729644358,227.2679443
0.0042,0.0107,113.8931,0.44533354,4.282943726
0.018,0.1763,126.0172,0.530309856,51.61973572
0.0009,0.0008,139.1049,0.271115512,198.1761475
0.002,0.0005,117.4422,0.115374766,142.5931396
0.0136,0.1008,113.2218,0.222944379,103.1415405
0.0444,1.0645,115.3154,0.976508856,56.53030396
0.0039,0.0105,124.1603,0.275511384,10.71580505
0.0157,0.1358,114.4208,0.490391225,56.993927
0.0005,0.0001,107.7787,0.291459143,194.6796112
0.0018,0.0031,116.5021,0.240383208,268.9352417
0.0084,0.0412,109.2713,0.48275131,242.2684479
0.0163,0.1506,114.5676,0.490051121,222.6732635
0.0423,1.1153,116.7888,1.484665394,44.7333374
0.0056,0.0198,114.1957,0.587074101,270.3891296
0.0262,0.4318,114.1228,1.176088572,166.7525024
0.0054,0.0173,109.688,0.348391622,359.5736694
0.0113,0.0811,193.7795,0.60027802,188.9401855
0.0046,0.0131,114.8833,0.540558994,272.0151367
0.0449,1.0056,115.3136,0.431931973,84.78630066
0.0175,0.1905,115.1528,0.48370102,198.3616028
0.0388,0.9553,115.9013,2.30826211,178.7937012
0.0025,0.0049,130.9921,0.21243985,185.8574677
0.0139,0.1238,119.7068,0.491967946,180.4832001
0.0132,0.0959,104.65,1.140217304,179.4939575
0.0185,0.1899,116.7623,0.976659238,255.8891754
0.0149,0.1208,124.1275,0.817137837,205.6754303
0.0054,0.0231,125.55,0.255827218,228.9822388
0.011,0.0737,108.7914,0.235472649,146.2550507
0.0064,0.0217,109.0161,0.244577169,30.31176758
0.0054,0.0223,116.3688,0.256635487,139.4154053
0.0066,0.0287,115.5695,0.489730775,252.59758
0.011,0.1046,181.2276,0.438793391,58.99334717
0.0022,0.0013,131.4021,0.153251633,45.54515076
0.0385,0.8742,112.4326,1.462170959,173.6886902
0.004,0.0099,120.8613,0.400319993,11.60908508
0.0054,0.0166,114.0339,0.818937778,357.9005127
0.0145,0.1219,115.0391,0.488538384,202.7686462
0.0282,0.4389,129.0825,1.061806679,43.14257813
0.0066,0.029,120.0144,0.373495966,243.3186951
0.0081,0.0441,156.837,0.645465136,190.1888428
0.0019,0.0015,115.1358,0.210632056,31.5966568
0.0044,0.0156,124.5689,0.170449659,13.11872864
0.0009,0.0002,106.2875,0.189270303,60.24983215
0.001,0.0002,111.4285,0.198908746,71.83082581
0.0062,0.0237,118.766,0.462965071,3.586853027
0.0233,0.3476,113.1515,2.058645248,190.6761627
0.0079,0.0413,123.9789,0.766543508,24.34048462
0.0024,0.0057,138.5923,0.12448559,355.2588196
0.0226,0.2697,124.6272,0.399879158,6.562835693
0.0024,0.0058,137.4128,0.151271492,3.166252136
0.0058,0.0261,152.9863,0.490583748,181.7191162
0.0081,0.0394,135.2722,0.143912807,173.5777588
0.0065,0.0275,132.2078,0.485418558,32.00662231
0.0092,0.0415,121.6507,0.507327795,33.61575317
0.01,0.0612,158.1778,0.583185017,286.3770752
0.0332,0.5514,105.6741,0.680575609,79.62641907
0.0083,0.0623,148.0754,0.620188475,59.94018555
0.0098,0.0502,115.3684,0.703588545,357.1860046
0.0075,0.0387,118.4262,0.856852055,194.2272491
0.0013,0.0025,143.6116,0.264613569,198.3568115
0.0085,0.0414,107.8393,0.230866462,155.342041
0.0341,0.7421,109.5657,1.446709991,173.3208008
0.0027,0.0079,137.1469,0.190494984,78.88179016
0.0081,0.0544,144.4925,0.251871258,82.52365112
0.0345,0.7813,110.7387,2.259707928,179.8395386
0.0089,0.0595,138.1527,0.238893375,90.18077087
0.004,0.0126,118.1917,0.304284692,53.1524353
0.0025,0.0073,155.3833,0.20871754,69.22396851
0.0105,0.0665,114.269,0.208620772,149.4384003
0.0349,0.6029,122.1892,0.833924949,302.3222656
0.0012,0.0006,115.9628,0.168748319,20.29270935
0.0519,1.475,130.8696,0.919741273,11.31298828
0.0125,0.0836,115.1663,0.539155841,211.4462128
0.0158,0.1523,109.5679,0.779291272,197.7345276
0.0023,0.0042,121.9004,0.326747775,186.167572
0.0066,0.0296,116.3175,0.551534891,237.045929
0.001,0.0005,108.3182,0.205160379,212.8821106
0.0039,0.0113,109.1597,0.621124804,265.8453674
0.0069,0.0335,118.2687,0.946781516,220.9390259
0.0093,0.1066,183.6529,1.098814487,163.5346069
0.0149,0.1144,108.3343,0.517043114,55.55288696
0.0073,0.0282,109.247,0.97858417,352.3139038
0.0063,0.0198,109.422,0.262206137,31.56341553
0.0104,0.0604,124.6342,0.564812601,37.09508514
0.0018,0.001,111.6198,0.149670497,42.78129578
0.03,0.539,113.3455,2.241790771,184.3960266
0.0117,0.0809,118.8784,0.733445227,172.2626953
0.0818,3.4687,110.3199,0.945625544,66.90858459
0.0044,0.0125,122.6723,0.182152927,33.79393005
0.0025,0.0049,124.3332,0.323624849,56.9855957
0.0157,0.1505,124.6276,0.863464475,184.0139465
0.0102,0.0604,117.1979,0.497680843,46.11322021
0.0148,0.1418,124.7793,0.435339749,143.9427795
0.0128,0.0834,118.1195,0.512186885,78.91117859
0.0202,0.2338,117.0233,0.880092382,197.4551392
0.0085,0.0357,118.7229,0.309016824,33.81515503
0.008,0.0496,118.0668,0.401850581,162.4421387
0.0282,0.4348,111.3745,0.76412046,236.0706482
0.0063,0.0249,127.1929,0.603278995,272.6767273
0.0396,0.8557,118.9442,0.69339329,234.3643188
0.0321,0.6235,105.629,1.98507762,185.2153931
0.0144,0.1263,112.0042,0.779752672,220.0073242
0.037,0.8019,126.4939,0.916749597,151.5600586
0.0088,0.0454,119.8842,0.943348408,277.1542053
0.0005,0.0,105.332,0.160087287,214.6056366
0.0077,0.0314,121.0798,1.037158847,329.5045776
0.0083,0.0348,118.5524,0.651347458,212.7679749
0.0286,0.4153,115.0295,0.863865376,76.81546021
0.0108,0.0592,125.8703,0.485649586,68.57925415
0.003,0.0094,149.2191,0.200583339,208.6802216
0.0353,0.6841,114.6664,1.404257655,44.02280426
0.0333,0.7464,111.6628,2.257968903,181.47052
0.0106,0.0591,110.306,0.788355231,9.384979248
0.0021,0.0041,139.5757,0.268444747,194.910614
0.0108,0.0697,126.1807,0.615692914,275.7796631
0.0022,0.0059,187.6033,0.209818393,63.63079834
0.0116,0.0829,115.0531,0.54617244,235.6594543
0.0068,0.0368,130.0778,0.610771954,22.25283813
0.0055,0.0187,128.2477,0.440432847,180.4586182
0.0132,0.0889,111.3147,0.594859838,213.0175323
0.007,0.0312,138.1878,0.769214511,241.580658
0.0026,0.0055,120.6912,0.237828687,194.6089172
0.0086,0.0397,111.5033,0.682284951,222.1134186
0.0056,0.0194,111.7107,0.608173251,202.9661102
0.0089,0.0419,114.8573,0.547530651,240.5164642
0.0127,0.0903,123.5646,0.610549033,213.7432251
0.0091,0.0486,118.275,0.443950474,83.29725647
0.0079,0.0428,147.1246,0.55300802,189.0356598
0.0149,0.1179,108.9498,0.488688111,151.0912933
0.0011,0.0003,102.4799,0.140641049,162.5111084
0.0103,0.0627,118.0971,0.839053988,356.5333252
0.004,0.0089,108.9879,0.612957835,356.7030945
0.0127,0.1125,119.0517,0.525438428,156.6676025
0.0153,0.1549,116.0693,1.958947182,195.3197021
0.0491,1.2312,113.0893,0.827861547,240.6645203
0.0125,0.1028,157.2509,0.220319122,104.1453247
0.0282,0.4309,112.5757,1.105377913,251.7134399
0.0076,0.0393,132.6044,0.226342887,142.819809
0.0091,0.051,113.0657,0.228080124,150.7542419
0.0077,0.0305,113.5618,0.903213263,345.5530396
0.0012,0.0014,150.3728,0.194664702,178.2782898
0.0046,0.0176,154.8568,0.226993933,1.85446167
0.021,0.2597,107.561,0.981964707,242.4980011
0.0145,0.1278,126.0699,0.44353053,222.6319427
0.001,0.0003,115.4888,0.200936884,55.44915771
0.0115,0.0808,112.1833,0.404307902,49.73275757
0.0146,0.1386,132.2228,0.472800612,68.74081421
0.0057,0.0185,119.6997,0.691153884,11.22085571
0.0203,0.2489,111.2154,1.537342191,165.1066284
0.012,0.0872,124.4575,1.153911948,184.5880432
0.0047,0.0189,124.9123,0.429653138,181.0658417
0.0011,0.0001,136.5047,0.257961273,219.2963562
0.0101,0.059,116.3876,0.480468154,251.9563751
0.0141,0.1041,114.4866,0.776095569,225.0853882
0.0064,0.0273,133.7135,0.895855129,202.8071289
0.0166,0.1595,118.749,0.895174026,198.9093323
0.0468,1.2588,116.9839,1.567805648,46.05214691
0.0139,0.1678,151.9388,1.158620477,218.1143494
0.0208,0.2537,111.1657,1.342179418,198.0773621
0.0011,0.0013,116.3542,0.267279536,194.5721436
0.0371,0.8522,112.5764,1.498766899,172.6775665
0.0336,0.6084,117.0012,0.864775479,232.8308716
0.0065,0.0227,115.4782,0.745687187,234.3554077
0.0104,0.0628,131.5193,0.627604127,273.0205078
0.0071,0.0322,109.4413,0.408412516,80.30705261
0.0057,0.0267,138.9853,0.571893334,149.1624451
0.0196,0.2076,110.6687,0.299883604,98.47912598
0.001,0.0002,104.557,0.117562197,43.64578247
0.0307,0.5746,119.4793,2.119429588,179.1348877
0.0247,0.3168,120.0425,0.490515411,79.51705933
0.0012,0.0014,172.8515,0.326575816,191.3581543
0.0073,0.0343,113.8964,0.225944296,85.50976563
0.0098,0.0731,183.6871,0.376428723,38.70472717
0.0077,0.0351,111.5473,0.723994851,269.419281
0.0474,1.2265,124.2008,0.955331266,235.0436859
0.0206,0.2662,114.2423,1.573095083,198.3141479
0.0148,0.1375,108.6229,0.40531373,72.40626526
0.0011,0.0008,157.5045,0.14425011,8.104904175
0.033,0.615,117.2742,1.348154306,161.9720764
0.0082,0.0494,113.507,0.493877947,63.37054443
0.0159,0.1291,124.1185,0.618296623,72.88505554
0.0049,0.0215,167.1125,0.504535913,41.16854858
0.0169,0.1656,139.7199,0.24431029,103.1139221
0.0145,0.1176,121.7281,0.720564306,205.1852417
0.0046,0.0132,137.6829,0.515852451,9.917816162
0.0085,0.0435,121.6127,0.264858454,61.08784485
0.0148,0.1182,109.3645,0.648201942,241.1754761
0.0057,0.0218,119.9519,0.509569943,248.9418182
0.0401,0.7743,105.462,0.749517798,235.6174164
0.0809,3.9129,137.8288,0.976845026,16.91917419
0.0089,0.0373,112.2713,0.410532773,224.7696991
0.0168,0.163,116.1767,0.536260068,238.5631561
0.0105,0.0577,113.076,0.685797572,17.38694763
0.0151,0.1494,110.2213,1.468403578,206.8955383
0.0042,0.011,125.0806,0.932124913,211.8943024
0.0102,0.0564,112.9906,0.448594958,50.25474548
0.0045,0.012,109.8193,0.239609212,38.79840088
0.0189,0.2153,139.0764,0.107562765,61.39395142
0.0092,0.0523,120.8797,0.300945163,66.37062073
0.035,0.7993,121.8714,2.178786516,181.486908
0.0061,0.0221,117.446,0.969382942,357.1026917
0.0069,0.0307,125.475,0.235984594,208.6201477
0.0267,0.445,125.899,1.266720772,137.5709839
0.0259,0.3976,118.3037,0.949183583,184.9047241
0.0067,0.0298,112.7248,0.498664916,253.6091919
0.0214,0.2349,114.3571,0.435804456,140.2283936
0.0106,0.0676,110.0333,0.23148036,155.6632385
0.0159,0.1342,112.9287,0.794928372,208.1513519
0.0249,0.34,113.4571,0.407405615,5.165039063
0.0102,0.0669,116.7378,0.582383394,49.66197205
0.0288,0.5108,109.7311,2.35231328,183.3587799
0.0047,0.0127,112.4763,0.397409916,238.0681305
0.0052,0.0156,109.9833,0.405468047,233.0144653
0.0223,0.2469,126.793,0.75422287,42.38444519
0.0019,0.0009,107.143,0.235945165,15.32632446
0.0049,0.0203,131.5193,1.360598564,176.2466125
0.0144,0.1269,104.9994,0.634768128,195.3050232
0.0142,0.1101,110.5748,1.053433657,268.230011
0.007,0.0341,148.4329,0.157907322,161.3679504
0.0086,0.0422,109.1773,1.24156785,190.9176331
0.0124,0.085,116.2662,0.61607188,246.3964691
0.0014,0.0009,122.0953,0.19001703,339.2489929
0.0188,0.2398,135.8148,0.534709394,56.82598877
0.0119,0.0765,127.0663,0.360338837,59.14353943
0.0059,0.0246,137.0026,0.738699794,162.1311646
0.0139,0.1215,137.918,0.478915215,218.7399292
0.0067,0.0302,112.5871,0.984260023,197.1045074
0.0069,0.0295,140.0163,0.542966366,265.9763184
0.017,0.148,109.5047,0.229818821,95.88766479
0.0435,0.9931,114.1716,0.680465817,66.44668579
0.011,0.0618,114.0645,0.510978699,42.04006958
0.014,0.132,119.8018,0.465263516,63.14852905
0.0501,1.3474,118.7539,0.564949751,83.17123413
0.009,0.046,112.3406,0.648198128,273.3095703
0.0061,0.0225,146.7149,0.861357212,233.6974792
0.0461,1.2087,121.0215,1.693494201,37.3311615
0.0147,0.1314,167.3501,0.454958946,192.4129181
0.0083,0.0448,112.8924,0.868931949,352.0083313
0.0087,0.0419,112.0009,0.70195502,15.52210236
0.0008,0.0004,153.5337,0.191800475,43.71507263
0.006,0.0278,151.1126,0.635870755,172.2866211
0.0193,0.2726,114.0836,1.158414364,264.4683838
0.0269,0.4456,114.742,1.27940321,178.4309387
0.0151,0.1269,110.709,0.542564869,230.7095642
0.0184,0.1987,116.4563,1.859140754,193.8410187
0.013,0.1296,121.176,0.450558156,148.1589508
0.0226,0.2597,125.3258,0.436624765,136.1387177
0.0216,0.2554,110.5427,1.098454356,248.8939667
0.0037,0.0107,117.7623,0.181221202,5.816253662
0.0095,0.0477,130.4177,0.646587372,200.0252991
0.0134,0.1343,130.1213,0.444113314,75.57409668
0.0196,0.2776,120.7799,0.885630131,197.6112976
0.0081,0.038,115.1273,0.676370263,8.734985352
0.0076,0.0387,122.201,0.503237188,241.7750549
0.0055,0.0167,107.8995,0.484870672,358.3300781
0.0081,0.0434,122.0844,0.605105579,279.756958
0.0144,0.1157,108.6283,0.631927013,209.2485657
0.0076,0.0331,105.6236,1.188550591,332.6969299
0.0085,0.041,144.5743,0.581087112,279.3406982
0.0068,0.0328,123.3479,0.398996413,171.6419525
0.0064,0.0218,106.8066,0.860205114,355.9874268
0.0041,0.0107,110.5587,0.198393404,56.53936768
0.0054,0.018,114.9097,0.966241896,349.4420776
0.0016,0.0012,114.4358,0.310396105,211.2432251
0.0179,0.1821,113.917,0.999689162,151.3449554
0.0152,0.1318,117.321,0.258349508,109.3046875
0.0117,0.0946,115.2929,0.460898817,44.05465698
0.0205,0.256,127.7936,2.162724495,191.6073914
